 N  ;       identifier        ;  coord1 (ICRS,J2000/2000)   ; coord2 (ICRS,J2000/2000)  ;Mag V 
510 ;* psi Oph                ;16 24 06.18464 -20 02 14.3784;246.02576935 -20.03732734  ; 4.50 
511 ;* zet CMa                ;06 20 18.79204 -30 03 48.1202;095.07830017 -30.06336673  ; 3.00 
512 ;* 78 Peg                 ;23 43 59.48560 +29 21 41.2342;355.99785668 +29.36145394  ; 4.941
513 ;* 20 Pup                 ;08 13 19.96755 -15 47 17.6021;123.33319811 -15.78822279  ; 4.99 
514 ;* 30 Mon                 ;08 25 39.63201 -03 54 23.1178;126.41513338 -03.90642162  ; 3.90 
515 ;* c Leo                  ;11 00 44.80142 +06 06 05.2093;165.18667257 +06.10144702  ; 4.996
516 ;* phi01 Cet              ;00 44 11.40013 -10 36 34.3816;011.04750052 -10.60955046  ; 4.775
517 ;* 111 Her                ;18 47 01.27397 +18 10 53.4663;281.75530819 +18.18151841  ; 4.36 
518 ;* gam Sge                ;19 58 45.42863 +19 29 31.7281;299.68928594 +19.49214669  ; 3.47 
519 ;* ome Sgr                ;19 55 50.36119 -26 17 58.3215;298.95983829 -26.29953374  ; 4.70 
520 ;* tet Crt                ;11 36 40.91335 -09 48 08.0912;174.17047231 -09.80224756  ; 4.682
521 ;* eps Hya                ;08 46 46.51223 +06 25 07.6855;131.69380097 +06.41880152  ; 3.38 
522 ;* bet Sco                ;16 05 26.23 -19 48 19.4      ;241.35929 -19.80539        ; 2.50 
523 ;* alf Aqr                ;22 05 47.036 -00 19 11.46    ;331.445983 -00.319850      ; 2.94 
524 ;* eta Gem                ;06 14 52.65715 +22 30 24.4596;093.71940480 +22.50679434  ; 3.28 
525 ;* f01 Ori                ;06 12 03.27955 +16 07 49.4614;093.01366479 +16.13040596  ; 4.92 
526 ;* kap CMa                ;06 49 50.45933 -32 30 30.5225;102.46024719 -32.50847846  ; 3.89 
527 ;* phi Oph                ;16 31 08.36732 -16 36 45.8306;247.78486384 -16.61273073  ; 4.27 
528 ;* ome Psc                ;23 59 18.69064 +06 51 47.9562;359.82787765 +06.86332117  ; 4.036
529 ;* eps Boo A              ;14 44 59.223 +27 04 27.15    ;221.246762 +27.074208      ; 2.45 
530 ;* omi01 CMa              ;06 54 07.95237 -24 11 03.1597;103.53313490 -24.18421104  ; 3.87 
531 ;* tet CrB A              ;15 32 55.782 +31 21 32.87    ;233.232425 +31.359131      ; 4.164
532 ;* lam Oph                ;16 30 54.82314 +01 59 02.1209;247.72842975 +01.98392248  ; 3.90 
533 ;* gam Lib                ;15 35 31.57881 -14 47 22.3278;233.88157836 -14.78953551  ; 3.91 
534 ;* 3 Mon                  ;06 01 50.42241 -10 35 52.5565;090.46009337 -10.59793237  ; 4.94 
535 ;* c Tau                  ;04 38 09.46296 +12 30 39.0089;069.53942899 +12.51083582  ; 4.27 
536 ;* eta Cap                ;21 04 24.30132 -19 51 17.9711;316.10125551 -19.85499196  ; 4.84 
537 ;* zet Ori B              ;05 40 45.571 -01 56 35.59    ;085.189879 -01.943219      ; 3.70 
538 ;* psi Hya                ;13 09 03.27026 -23 07 05.0501;197.26362608 -23.11806948  ; 4.944
539 ;HD 84117                 ;09 42 14.41653 -23 54 56.0505;145.56006886 -23.91556957  ; 4.94 
540 ;NAME SDG                 ;18 55 03.1 -30 28 42         ;283.7629 -30.4783          ; 3.6  
541 ;* gam Crv                ;12 15 48.37081 -17 32 30.9496;183.95154504 -17.54193046  ; 2.58 
542 ;* N Sco                  ;16 31 22.93300 -34 42 15.7146;247.84555417 -34.70436517  ; 4.23 
543 ;* del Ori A              ;05 32 00.398 -00 17 56.69    ;083.001658 -00.299081      ; 2.41 
544 ;* del Cnc                ;08 44 41.09921 +18 09 15.5034;131.17124671 +18.15430650  ; 3.94 
545 ;* 10 Tau                 ;03 36 52.38323 +00 24 05.9829;054.21826346 +00.40166192  ; 4.30 
546 ;* phi Vir A              ;14 28 12.138 -02 13 40.63    ;217.050575 -02.227953      ; 4.840
547 ;* rho Gem                ;07 29 06.71887 +31 47 04.3773;112.27799529 +31.78454925  ; 4.18 
548 ;* D Hya                  ;08 46 22.53719 -13 32 51.7973;131.59390494 -13.54772148  ; 4.32 
549 ;* alf Lib                ;14 50 52.8 -16 02 30         ;222.7200 -16.0417          ; 2.8  
550 ;* del And                ;00 39 19.67518 +30 51 39.6783;009.83197992 +30.86102175  ; 3.28 
551 ;* nu. Her                ;17 58 30.14909 +30 11 21.3870;269.62562122 +30.18927417  ; 4.41 
552 ;* 30 LMi                 ;10 25 54.81535 +33 47 46.0309;156.47839728 +33.79611971  ; 4.730
553 ;NGC 2362                 ;07 18 41.0 -24 57 18         ;109.6708 -24.9550          ; 4.1  
554 ;* lam Tau                ;04 00 40.81572 +12 29 25.2259;060.17006549 +12.49034054  ; 3.41 
555 ;* eta Tau                ;03 47 29.07655 +24 06 18.4883;056.87115231 +24.10513565  ; 2.87 
556 ;* 15 Mon                 ;06 40 58.65963 +09 53 44.7229;100.24441512 +09.89575637  ; 4.640
557 ;* eta Peg                ;22 43 00.13743 +30 13 16.4822;340.75057261 +30.22124505  ; 2.95 
558 ;* gam02 Del              ;20 46 39.50341 +16 07 27.4403;311.66459755 +16.12428898  ; 4.27 
559 ;* alf For                ;03 12 04.52736 -28 59 15.4336;048.01886400 -28.98762045  ; 3.85 
560 ;* bet CrB                ;15 27 49.73153 +29 06 20.5224;231.95721470 +29.10570066  ; 3.68 
561 ;* bet02 Sco              ;16 05 26.57128 -19 48 06.8556;241.36071368 -19.80190433  ; 4.89 
562 ;* bet Oph                ;17 43 28.35265 +04 34 02.2955;265.86813603 +04.56730431  ; 2.750
563 ;* tau Cet                ;01 44 04.08338 -15 56 14.9262;026.01701409 -15.93747951  ; 3.50 
564 ;* 113 Her                ;18 54 44.872 +22 38 42.10    ;283.686967 +22.645028      ; 4.60 
565 ;* ksi Oph                ;17 21 00.37520 -21 06 46.5663;260.25156334 -21.11293508  ; 4.39 
566 ;* l Aql                  ;20 38 20.28206 -01 06 18.4311;309.58450859 -01.10511976  ; 4.33 
567 ;* omi Tau                ;03 24 48.79796 +09 01 43.9489;051.20332482 +09.02887470  ; 3.600
568 ;* chi Cet                ;01 49 35.10316 -10 41 11.0674;027.39626317 -10.68640761  ; 4.68 
569 ;* rho Ori A              ;05 13 17.481 +02 51 40.52    ;078.322837 +02.861256      ; 4.48 
570 ;* omi Col                ;05 17 29.08929 -34 53 42.7444;079.37120539 -34.89520677  ; 4.83 
571 ;* omi Gem                ;07 39 09.93286 +34 35 03.6443;114.79138690 +34.58434563  ; 4.90 
572 ;* 75 Tau                 ;04 28 26.37004 +16 21 34.8231;067.10987515 +16.35967308  ; 4.971
573 ;* 35 Com                 ;12 53 17.74703 +21 14 41.8092;193.32394594 +21.24494701  ; 4.91 
574 ;* 14 Aur                 ;05 15 24.39443 +32 41 15.3575;078.85164348 +32.68759931  ; 5.000
575 ;* rho01 Sgr              ;19 21 40.35942 -17 50 49.9168;290.41816424 -17.84719912  ; 3.93 
576 ;* tet Pyx                ;09 21 29.59085 -25 57 55.5803;140.37329522 -25.96543897  ; 4.72 
577 ;* iot Vir                ;14 16 00.86951 -06 00 01.9633;214.00362294 -06.00054537  ; 4.08 
578 ;* j Pup                  ;07 56 51.53900 -22 52 48.4340;119.21474582 -22.88012055  ; 4.204
579 ;* nu. Cap                ;20 20 39.81562 -12 45 32.6844;305.16589842 -12.75907901  ; 4.76 
580 ;* zet Her A              ;16 41 17.465 +31 36 06.97    ;250.322771 +31.601936      ; 2.879
581 ;* del Aql                ;19 25 29.90139 +03 06 53.2061;291.37458914 +03.11477947  ; 3.36 
582 ;* l Eri                  ;04 38 10.82486 -14 18 14.4600;069.54510358 -14.30401665  ; 3.87 
583 ;* nu. Ori                ;06 07 34.32588 +14 46 06.5061;091.89302448 +14.76847392  ; 4.403
584 ;CCDM J15576+2652A        ;15 57 35.25147 +26 52 40.3635;239.39688112 +26.87787875  ; 4.130
585 ;HR 4162                  ;10 37 13.72404 -27 24 45.4849;159.30718350 -27.41263469  ; 4.89 
586 ;* kap Cap                ;21 42 39.50710 -18 51 58.7669;325.66461291 -18.86632413  ; 4.738
587 ;* gam PsA                ;22 52 31.53513 -32 52 31.8059;343.13139638 -32.87550164  ; 4.501
588 ;* gam Cap                ;21 40 05.45648 -16 39 44.3072;325.02273533 -16.66230756  ; 3.67 
589 ;* ome Cap                ;20 51 49.29084 -26 55 08.8574;312.95537849 -26.91912706  ; 4.12 
590 ;* 45 Eri                 ;04 31 52.667 -00 02 38.44    ;067.969446 -00.044011      ; 4.908
591 ;* mu. Vir                ;14 43 03.62282 -05 39 29.5327;220.76509509 -05.65820353  ; 3.88 
592 ;HR 2549                  ;06 50 52.35242 -34 22 02.3427;102.71813508 -34.36731742  ; 5.000
593 ;[SC96] GC 236            ;17 53 42.0 -34 45 00         ;268.4250 -34.7500          ; 4.89 
594 ;* bet PsA                ;22 31 30.33038 -32 20 45.8653;337.87637660 -32.34607371  ; 4.29 
595 ;* i Cen                  ;13 45 41.24482 -33 02 37.3997;206.42185343 -33.04372215  ; 4.23 
596 ;M 25                     ;18 31 47.0 -19 07 00         ;277.9458 -19.1167          ; 4.6  
597 ;* rho Leo                ;10 32 48.67168 +09 18 23.7094;158.20279865 +09.30658596  ; 3.870
598 ;* eta Ser                ;18 21 18.60056 -02 53 55.7766;275.32750232 -02.89882682  ; 3.25 
599 ;* eta Psc                ;01 31 29.01026 +15 20 44.9685;022.87087607 +15.34582459  ; 3.620
600 ;* mu. Peg                ;22 50 00.19315 +24 36 05.6984;342.50080479 +24.60158288  ; 3.48 
601 ;* c Boo                  ;15 07 18.06607 +24 52 09.1012;226.82527528 +24.86919478  ; 4.93 
602 ;* 1 Gem                  ;06 04 07.21544 +23 15 48.0401;091.03006433 +23.26334447  ; 4.15 
603 ;* d Ori                  ;05 38 53.08296 -07 12 46.1838;084.72117901 -07.21282883  ; 4.80 
604 ;NOVA Sco 2007 a          ;16 57 40.91 -32 20 36.4      ;254.42046 -32.34344        ; 3.8  
605 ;* k Sco                  ;17 04 49.35227 -34 07 22.5483;256.20563446 -34.12293007  ; 4.87 
606 ;* del Ser                ;15 34 48.14762 +10 32 19.9248;233.70061506 +10.53886800  ; 3.79 
607 ;* gam Leo                ;10 19 58.35056 +19 50 29.3468;154.99312733 +19.84148522  ; 2.37 
608 ;* chi Gem                ;08 03 31.08225 +27 47 39.6243;120.87950938 +27.79434007  ; 4.944
609 ;* nu. Vir                ;11 45 51.55957 +06 31 45.7413;176.46483156 +06.52937258  ; 4.04 
610 ;* ksi Her                ;17 57 45.88571 +29 14 52.3675;269.44119046 +29.24787987  ; 3.70 
611 ;* tet Cet                ;01 24 01.40528 -08 10 59.7212;021.00585534 -08.18325590  ; 3.59 
612 ;M 6                      ;17 40 20.0 -32 15 12         ;265.0833 -32.2533          ; 4.2  
613 ;* alf Boo                ;14 15 39.67207 +19 10 56.6730;213.91530029 +19.18240916  ;-0.05 
614 ;* 26 Hya                 ;09 19 46.38236 -11 58 29.4639;139.94325984 -11.97485110  ; 4.783
615 ;* zet And                ;00 47 20.32547 +24 16 01.8408;011.83468946 +24.26717801  ; 4.06 
616 ;* omi Hya                ;11 40 12.78970 -34 44 40.7733;175.05329043 -34.74465926  ; 4.70 
617 ;HR 2906                  ;07 34 03.18084 -22 17 45.8398;113.51325350 -22.29606662  ; 4.39 
618 ;* zet Leo                ;10 16 41.41597 +23 25 02.3221;154.17256653 +23.41731168  ; 3.41 
619 ;* nu. Sco A              ;16 11 59.740 -19 27 38.33    ;242.998917 -19.460647      ; 4.349
620 ;* 9 Peg                  ;21 44 30.69581 +17 21 00.0571;326.12789922 +17.35001585  ; 4.35 
621 ;* eta Cet                ;01 08 35.39148 -10 10 56.1570;017.14746451 -10.18226582  ; 3.45 
622 ;* mu. Tau                ;04 15 32.05667 +08 53 32.4825;063.88356946 +08.89235624  ; 4.280
623 ;* psi Eri                ;05 01 26.34599 -07 10 26.2662;075.35977498 -07.17396283  ; 4.81 
624 ;* del Eri                ;03 43 14.90088 -09 45 48.2084;055.81208699 -09.76339122  ; 3.54 
625 ;* phi Hya                ;10 38 34.95281 -16 52 35.6665;159.64563672 -16.87657401  ; 4.913
626 ;* zet Del                ;20 35 18.53563 +14 40 27.1675;308.82723181 +14.67421319  ; 4.664
627 ;* del Ari                ;03 11 37.76465 +19 43 36.0397;047.90735272 +19.72667769  ; 4.37 
628 ;* alf Crt                ;10 59 46.46486 -18 17 55.6172;164.94360359 -18.29878257  ; 4.07 
629 ;* b Sco                  ;15 50 58.74452 -25 45 04.6649;237.74476884 -25.75129581  ; 4.638
630 ;2MASS J11143546-2112534  ;11 14 35.46 -21 12 53.5      ;168.64775 -21.21486        ; 0.1  
631 ;* 27 Tau                 ;03 49 09.74258 +24 03 12.3003;057.29059410 +24.05341675  ; 3.63 
632 ;* tau Ori                ;05 17 36.38856 -06 50 39.8702;079.40161902 -06.84440839  ; 3.59 
633 ;* 9 Boo                  ;13 56 34.18095 +27 29 31.4921;209.14242062 +27.49208115  ; 5.000
634 ;* e Leo                  ;11 30 18.89303 -03 00 12.5905;172.57872098 -03.00349735  ; 4.77 
635 ;* 72 Oph                 ;18 07 20.98393 +09 33 49.8501;271.83743304 +09.56384725  ; 3.73 
636 ;* ups Cet                ;02 00 00.30916 -21 04 40.1946;030.00128817 -21.07783183  ; 4.02 
637 ;* gam CMi                ;07 28 09.79333 +08 55 31.9068;112.04080553 +08.92552968  ; 4.30 
638 ;* omi Aqr                ;22 03 18.84403 -02 09 19.3067;330.82851679 -02.15536298  ; 4.69 
639 ;* gam Mic                ;21 01 17.46047 -32 15 27.9574;315.32275197 -32.25776593  ; 4.677
640 ;* b Leo                  ;11 02 19.77577 +20 10 47.4265;165.58239904 +20.17984070  ; 4.407
641 ;* ksi UMa B              ;11 18 10.950 +31 31 45.74    ;169.545625 +31.529372      ; 4.729
642 ;V* V656 Her              ;17 20 18.87127 +18 03 25.4872;260.07863029 +18.05707979  ; 5.00 
643 ;HR 2113                  ;06 00 03.34974 -03 04 27.3196;090.01395724 -03.07425545  ; 4.52 
644 ;* ups Sgr                ;19 21 43.62284 -15 57 18.0625;290.43176182 -15.95501735  ; 4.61 
645 ;* 34 Boo                 ;14 43 25.36305 +26 31 40.2663;220.85567936 +26.52785176  ; 4.79 
646 ;* eta Ori A              ;05 24 28.617 -02 23 49.69    ;081.119238 -02.397136      ; 3.594
647 ;* iot Aql                ;19 36 43.27606 -01 17 11.7611;294.18031692 -01.28660030  ; 4.36 
648 ;* pi. CMa                ;06 55 37.43099 -20 08 11.3902;103.90596244 -20.13649729  ; 4.687
649 ;* eps Sgr                ;18 24 10.31840 -34 23 04.6193;276.04299335 -34.38461649  ; 1.85 
650 ;* del Gem A              ;07 20 07.389 +21 58 56.42    ;110.030788 +21.982339      ; 3.518
651 ;* tet Vir                ;13 09 56.99067 -05 32 20.4185;197.48746111 -05.53900515  ; 4.381
652 ;* psi Sgr                ;19 15 32.42658 -25 15 24.0569;288.88511073 -25.25668246  ; 4.85 
653 ;* ome Ori                ;05 39 11.14632 +04 07 17.2795;084.79644299 +04.12146652  ; 4.59 
654 ;* 3 Cet                  ;00 04 30.11827 -10 30 34.2849;001.12549281 -10.50952359  ; 4.953
655 ;* mu. Ori A              ;06 02 22.997 +09 38 50.24    ;090.595821 +09.647289      ; 4.30 
656 ;* 71 Tau                 ;04 26 20.74092 +15 37 05.7652;066.58642051 +15.61826810  ; 4.490
657 ;C 0712-310               ;07 15 20.0 -30 41 00         ;108.8333 -30.6833          ; 3.6  
658 ;C 0652-245               ;06 56 20.0 -24 43 48         ;104.0833 -24.7300          ; 2.6  
659 ;* 36 Com                 ;12 58 55.44306 +17 24 33.9963;194.73101275 +17.40944343  ; 5.00 
660 ;* lam Peg                ;22 46 31.87786 +23 33 56.3561;341.63282442 +23.56565448  ; 3.93 
661 ;* 9 Hya                  ;08 41 43.33626 -15 56 36.1846;130.43056777 -15.94338462  ; 4.873
662 ;* bet Com                ;13 11 52.39379 +27 52 41.4535;197.96830746 +27.87818153  ; 4.25 
663 ;NAME Kepler's SN         ;17 30 35.976 -21 28 56.23    ;262.649900 -21.482286      ;-3    
664 ;* alf Sct                ;18 35 12.42776 -08 14 38.6529;278.80178235 -08.24407024  ; 3.83 
665 ;* tet01 Tau              ;04 28 34.49603 +15 57 43.8494;067.14373348 +15.96218040  ; 3.840
666 ;* 67 Oph                 ;18 00 38.71619 +02 55 53.6324;270.16131745 +02.93156455  ; 3.93 
667 ;* gam Vir A              ;12 41 39.983 -01 26 58.25    ;190.416596 -01.449514      ; 3.440
668 ;* nu. UMa                ;11 18 28.73664 +33 05 39.5107;169.61973601 +33.09430852  ; 3.49 
669 ;* 27 Psc                 ;23 58 40.37708 -03 33 21.5379;359.66823782 -03.55598275  ; 4.890
670 ;* omi Ori                ;04 52 31.96357 +14 15 02.3215;073.13318153 +14.25064486  ; 4.752
671 ;* del Ori B              ;05 32 00.410 -00 17 56.89    ;083.001708 -00.299136      ; 3.76 
672 ;* lam Ser                ;15 46 26.61421 +07 21 11.0449;236.61089255 +07.35306802  ; 4.42 
673 ;* zet Crt                ;11 44 45.77615 -18 21 02.4298;176.19073394 -18.35067494  ; 4.717
674 ;* 16 Aur                 ;05 18 10.57021 +33 22 17.8085;079.54404256 +33.37161348  ; 4.552
675 ;* 102 Her                ;18 08 45.49142 +20 48 52.4079;272.18954758 +20.81455774  ; 4.355
676 ;* zet Sgr                ;19 02 36.73024 -29 52 48.2279;285.65304266 -29.88006330  ; 2.607
677 ;V* X Sgr                 ;17 47 33.62432 -27 49 50.8330;266.89010133 -27.83078694  ; 4.54 
678 ;* eps Aql                ;18 59 37.35872 +15 04 05.8871;284.90566133 +15.06830196  ; 4.02 
679 ;* omi Per                ;03 44 19.13204 +32 17 17.6929;056.07971685 +32.28824802  ; 3.83 
680 ;* del Her A              ;17 15 01.911 +24 50 21.09    ;258.757963 +24.839192      ; 3.103
681 ;* kap Oph                ;16 57 40.09785 +09 22 30.1126;254.41707438 +09.37503128  ; 3.20 
682 ;* rho Boo                ;14 31 49.78962 +30 22 17.1781;217.95745674 +30.37143836  ; 3.59 
683 ;* 16 Com                 ;12 26 59.29709 +26 49 32.5201;186.74707119 +26.82570003  ; 4.965
684 ;Weis 52699               ;13 07 08.8 +27 36 45         ;196.7867 +27.6125          ; 4.80 
685 ;* ups Cyg                ;21 17 55.07506 +34 53 48.8289;319.47947940 +34.89689692  ; 4.42 
686 ;* alf Psc                ;02 02 02.81972 +02 45 49.5410;030.51174881 +02.76376138  ; 3.82 
687 ;* del Cet                ;02 39 28.95579 +00 19 42.6345;039.87064912 +00.32850959  ; 4.07 
688 ;* lam Leo                ;09 31 43.22754 +22 58 04.6904;142.93011473 +22.96796956  ; 4.31 
689 ;HR 2450                  ;06 39 16.71946 -14 08 44.7468;099.81966442 -14.14576301  ; 4.832
690 ;* lam CMa                ;06 28 10.20747 -32 34 48.2455;097.04253114 -32.58006820  ; 4.48 
691 ;* 35 Ari                 ;02 43 27.11185 +27 42 25.7233;040.86296604 +27.70714536  ; 4.67 
692 ;* 16 Lib                 ;14 57 11.00009 -04 20 47.2547;224.29583370 -04.34645964  ; 4.49 
693 ;NOVA Vul 1670            ;19 47 38.0 +27 18 48         ;296.9083 +27.3133          ; 2.7  
694 ;* 13 Mon                 ;06 32 54.22948 +07 19 58.6942;098.22595618 +07.33297062  ; 4.50 
695 ;* mu. Psc                ;01 30 11.11444 +06 08 37.7577;022.54631015 +06.14382159  ; 4.84 
696 ;* 110 Her                ;18 45 39.72570 +20 32 46.7171;281.41552377 +20.54631030  ; 4.19 
697 ;* ups02 Hya              ;10 05 07.46888 -13 03 52.6561;151.28112034 -13.06462670  ; 4.594
698 ;* iot Ser                ;15 41 33.05469 +19 40 13.4380;235.38772788 +19.67039944  ; 4.509
699 ;* gam Tau                ;04 19 47.60385 +15 37 39.5154;064.94834937 +15.62764318  ; 3.65 
700 ;* ome Oph                ;16 32 08.19983 -21 27 59.0120;248.03416595 -21.46639223  ; 4.45 
701 ;* pi. Sgr                ;19 09 45.83293 -21 01 25.0103;287.44097053 -21.02361398  ; 2.88 
702 ;TYC 4757-1588-2          ;05 24 28.729 -02 23 49.32    ;081.119704 -02.397033      ; 4.895
703 ;* i Sco                  ;16 30 12.47514 -25 06 54.8043;247.55197974 -25.11522341  ; 4.79 
704 ;HR 3923                  ;09 54 52.20987 -19 00 33.6949;148.71754112 -19.00935969  ; 4.94 
705 ;* kap Gem                ;07 44 26.85357 +24 23 52.7872;116.11188987 +24.39799645  ; 3.57 
706 ;* alf Leo                ;10 08 22.31099 +11 58 01.9516;152.09296244 +11.96720878  ; 1.40 
707 ;* gam Com                ;12 26 56.27207 +28 16 06.3211;186.73446698 +28.26842252  ; 4.34 
708 ;V* T Aur                 ;05 31 59.12 +30 26 45.0      ;082.99633 +30.44583        ; 4.10 
709 ;* 72 Peg                 ;23 33 57.18791 +31 19 31.0058;353.48828297 +31.32527939  ; 4.993
710 ;* phi Vir                ;14 28 12.13894 -02 13 40.6579;217.05057892 -02.22796054  ; 4.844
711 ;* 134 Tau                ;05 49 32.92974 +12 39 04.7582;087.38720726 +12.65132173  ; 4.877
712 ;* 56 Cet                 ;01 56 40.19863 -22 31 36.4252;029.16749428 -22.52678477  ; 4.85 
713 ;* gam01 Sgr              ;18 05 01.22409 -29 34 48.3199;271.25510037 -29.58008887  ; 4.69 
714 ;* sig Ori                ;05 38 44.77934 -02 36 00.1186;084.68658057 -02.60003294  ; 3.80 
715 ;* 41 Cyg                 ;20 29 23.73561 +30 22 06.7968;307.34889838 +30.36855466  ; 4.01 
716 ;* gam02 Sgr              ;18 05 48.48810 -30 25 26.7235;271.45203375 -30.42408985  ; 2.99 
717 ;* m Tau                  ;05 07 27.00529 +18 38 42.1815;076.86252205 +18.64505042  ; 5.00 
718 ;V* ET Vir                ;14 10 50.48605 -16 18 07.3068;212.71035855 -16.30202967  ; 4.91 
719 ;* 58 Leo                 ;11 00 33.64811 +03 37 02.9766;165.14020046 +03.61749350  ; 4.852
720 ;* ksi Gem                ;06 45 17.36432 +12 53 44.1311;101.32235133 +12.89559198  ; 3.36 
721 ;* ksi Hya                ;11 33 00.11505 -31 51 27.4435;173.25047940 -31.85762318  ; 3.54 
722 ;* del Ori                ;05 32 00.40009 -00 17 56.7424;083.00166706 -00.29909511  ; 2.41 
723 ;* 30 Psc                 ;00 01 57.61997 -06 00 50.6554;000.49008320 -06.01407096  ; 4.41 
724 ;* eps Her                ;17 00 17.37378 +30 55 35.0565;255.07239075 +30.92640458  ; 3.92 
725 ;* tet Gem                ;06 52 47.33887 +33 57 40.5175;103.19724530 +33.96125485  ; 3.60 
726 ;* zet Lep                ;05 46 57.34096 -14 49 19.0199;086.73892066 -14.82194998  ; 3.545
727 ;* zet Mon                ;08 08 35.64663 -02 59 01.6361;122.14852762 -02.98378780  ; 4.33 
728 ;* del Her                ;17 15 01.91058 +24 50 21.1451;258.75796074 +24.83920697  ; 3.13 
729 ;NGC 1981                 ;05 35 09.0 -04 25 54         ;083.7875 -04.4317          ; 4.2  
730 ;* bet Lib                ;15 17 00.41382 -09 22 58.4919;229.25172425 -09.38291441  ; 2.62 
731 ;[SC96] Mis 1358          ;18 25 24.0 -20 33 00         ;276.3500 -20.5500          ; 4.81 
732 ;* omi01 Eri              ;04 11 51.93956 -06 50 15.2864;062.96641483 -06.83757955  ; 4.040
733 ;* gam Psc                ;23 17 09.93749 +03 16 56.2380;349.29140621 +03.28228833  ; 3.70 
734 ;* eps CMa                ;06 58 37.54876 -28 58 19.5102;104.65645315 -28.97208616  ; 1.50 
735 ;* alf Vir                ;13 25 11.57937 -11 09 40.7501;201.29824736 -11.16131949  ; 0.97 
736 ;HIP 37229                ;07 38 49.87079 -26 48 13.8194;114.70779496 -26.80383873  ; 3.80 
737 ;* tau CMa                ;07 18 42.48642 -24 57 15.7413;109.67702675 -24.95437258  ; 4.40 
738 ;* kap Ori                ;05 47 45.38884 -09 40 10.5777;086.93912017 -09.66960492  ; 2.06 
739 ;* 31 Com                 ;12 51 41.92207 +27 32 26.5754;192.92467528 +27.54071539  ; 4.94 
740 ;* kap Her A              ;16 08 04.52481 +17 02 49.1150;242.01885336 +17.04697638  ; 4.994
741 ;* kap Peg                ;21 44 38.73522 +25 38 42.1359;326.16139677 +25.64503776  ; 4.159
742 ;* ups Oph                ;16 27 48.18720 -08 22 18.2245;246.95078000 -08.37172902  ; 4.63 
743 ;* eps Mic                ;21 17 56.28399 -32 10 21.1515;319.48451664 -32.17254209  ; 4.721
744 ;* alf Col                ;05 39 38.94103 -34 04 26.7950;084.91225430 -34.07410972  ; 2.65 
745 ;* sig Sgr                ;18 55 15.92650 -26 17 48.2068;283.81636041 -26.29672411  ; 2.058
746 ;* phi02 Ori              ;05 36 54.38819 +09 17 26.4096;084.22661744 +09.29066933  ; 4.09 
747 ;* kap Vir                ;14 12 53.74538 -10 16 25.3340;213.22393910 -10.27370388  ; 4.21 
748 ;* eps Sct                ;18 43 31.252 -08 16 30.80    ;280.880217 -08.275222      ; 4.900
749 ;* alf Vul                ;19 28 42.32996 +24 39 53.6525;292.17637482 +24.66490346  ; 4.45 
750 ;* tau09 Eri              ;03 59 55.48381 -24 00 58.3798;059.98118254 -24.01621661  ; 4.66 
751 ;* lam Her                ;17 30 44.31022 +26 06 38.3213;262.68462592 +26.11064481  ; 4.41 
752 ;* 60 Sgr A               ;19 58 57.19921 -26 11 44.7545;299.73833006 -26.19576513  ; 4.851
753 ;* gam Peg                ;00 13 14.15123 +15 11 00.9368;003.30896346 +15.18359354  ; 2.84 
754 ;* psi Peg                ;23 57 45.52681 +25 08 29.0480;359.43969503 +25.14140221  ; 4.66 
755 ;* bet CMa                ;06 22 41.98535 -17 57 21.3073;095.67493897 -17.95591871  ; 1.97 
756 ;* gam Cnc                ;08 43 17.14820 +21 28 06.6008;130.82145083 +21.46850022  ; 4.668
757 ;* alf Mon                ;07 41 14.83257 -09 33 04.0711;115.31180237 -09.55113085  ; 3.93 
758 ;* d Oph                  ;17 27 21.27571 -29 52 01.3262;261.83864879 -29.86703507  ; 4.286
759 ;* pi. Cet                ;02 44 07.34928 -13 51 31.3130;041.03062200 -13.85869806  ; 4.235
760 ;* chi Peg                ;00 14 36.16451 +20 12 24.1205;003.65068546 +20.20670014  ; 4.800
761 ;* alf Cet                ;03 02 16.77307 +04 05 23.0596;045.56988780 +04.08973877  ; 2.53 
762 ;* zet Cet                ;01 51 27.63482 -10 20 06.1289;027.86514510 -10.33503581  ; 3.72 
763 ;* eta Aqr                ;22 35 21.38126 -00 07 02.9888;338.83908859 -00.11749690  ; 4.030
764 ;* gam Lyr                ;18 58 56.62241 +32 41 22.4003;284.73592673 +32.68955564  ; 3.250
765 ;BD-21 1135A              ;05 20 26.912 -21 14 23.06    ;080.112133 -21.239739      ; 4.73 
766 ;* tet Aqr                ;22 16 50.03635 -07 46 59.8480;334.20848481 -07.78329112  ; 4.16 
767 ;* alf Equ                ;21 15 49.43192 +05 14 52.2430;318.95596633 +05.24784528  ; 3.949
768 ;* k Hya                  ;14 23 05.77380 -27 45 14.4620;215.77405750 -27.75401722  ; 4.75 
769 ;* 104 Aqr                ;23 41 45.80611 -17 48 59.5110;355.44085877 -17.81653084  ; 4.83 
770 ;* ups PsA                ;22 08 25.93132 -34 02 37.8248;332.10804717 -34.04384022  ; 4.99 
771 ;* ksi Sco B              ;16 04 22.148 -11 22 22.98    ;241.092283 -11.373050      ; 4.87 
772 ;* alf Sge                ;19 40 05.79186 +18 00 50.0061;295.02413275 +18.01389059  ; 4.38 
