 N  ;       identifier        ;  coord1 (ICRS,J2000/2000)   ; coord2 (ICRS,J2000/2000)  ;Mag V 
81  ;* del02 Tau              ;04 24 05.75985 +17 26 38.8583;066.02399939 +17.44412732  ; 4.80 
82  ;* bet Tau                ;05 26 17.51312 +28 36 26.8262;081.57297133 +28.60745172  ; 1.65 
83  ;* omi02 Eri              ;04 15 16.31963 -07 39 10.3404;063.81799845 -07.65287232  ; 4.43 
84  ;* nu. Cet                ;02 35 52.47339 +05 35 35.6898;038.96863913 +05.59324718  ; 4.880
85  ;SN 2009jb                ;17 23 41.71 +30 29 50.6      ;260.92379 +30.49739        ; 1.07 
86  ;* 2 Peg                  ;21 29 56.89545 +23 38 19.8170;322.48706438 +23.63883806  ; 4.536
87  ;* nu. Oph                ;17 59 01.59191 -09 46 25.0798;269.75663297 -09.77363329  ; 3.34 
88  ;* omi Sgr                ;19 04 40.98177 -21 44 29.3845;286.17075738 -21.74149570  ; 3.77 
89  ;* bet Sge                ;19 41 02.93907 +17 28 33.7528;295.26224613 +17.47604244  ; 4.38 
90  ;* 14 Com                 ;12 26 24.06444 +27 16 05.6554;186.60026849 +27.26823762  ; 4.95 
91  ;HD 20468                 ;03 18 43.82583 +34 13 21.5473;049.68260764 +34.22265204  ; 4.82 
92  ;* 40 Leo                 ;10 19 44.16688 +19 28 15.2943;154.93402865 +19.47091509  ; 4.80 
93  ;* 3 Cen A                ;13 51 49.577 -32 59 38.65    ;207.956571 -32.994069      ; 4.520
94  ;* del Del                ;20 43 27.53338 +15 04 28.4773;310.86472243 +15.07457702  ; 4.434
95  ;* ups Leo                ;11 36 56.931 -00 49 25.49    ;174.237212 -00.823747      ; 4.30 
96  ;* chi Aur                ;05 32 43.67312 +32 11 31.2753;083.18197132 +32.19202092  ; 4.79 
97  ;* kap Pyx                ;09 08 02.88045 -25 51 30.7303;137.01200186 -25.85853619  ; 4.56 
98  ;* del Vir                ;12 55 36.20861 +03 23 50.8932;193.90086919 +03.39747034  ; 3.38 
99  ;* alf Tau                ;04 35 55.23907 +16 30 33.4885;068.98016279 +16.50930235  ; 0.86 
100 ;* tau Sgr                ;19 06 56.40897 -27 40 13.5189;286.73503735 -27.67042191  ; 3.31 
101 ;* lam Lyr                ;19 00 00.82568 +32 08 43.8527;285.00344031 +32.14551465  ; 4.951
