Date__(UT)__HR:MN, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),
 2016-Aug-14 00:00, , ,143.79418, 14.36340,
 2016-Aug-15 00:00, , ,144.73174, 14.05336,
 2016-Aug-16 00:00, , ,145.66704, 13.73961,
 2016-Aug-17 00:00, , ,146.60012, 13.42223,
 2016-Aug-18 00:00, , ,147.53105, 13.10132,
 2016-Aug-19 00:00, , ,148.45989, 12.77695,
 2016-Aug-20 00:00, , ,149.38671, 12.44920,
 2016-Aug-21 00:00, , ,150.31157, 12.11817,
 2016-Aug-22 00:00, , ,151.23456, 11.78393,
 2016-Aug-23 00:00, , ,152.15574, 11.44656,
 2016-Aug-24 00:00, , ,153.07517, 11.10616,
 2016-Aug-25 00:00, , ,153.99292, 10.76281,
 2016-Aug-26 00:00, , ,154.90906, 10.41660,
 2016-Aug-27 00:00, , ,155.82364, 10.06761,
 2016-Aug-28 00:00, , ,156.73671,  9.71594,
 2016-Aug-29 00:00, , ,157.64834,  9.36167,
 2016-Aug-30 00:00, , ,158.55857,  9.00491,
 2016-Aug-31 00:00, , ,159.46745,  8.64574,
 2016-Sep-01 00:00, , ,160.37504,  8.28425,
 2016-Sep-02 00:00, , ,161.28140,  7.92055,
 2016-Sep-03 00:00, , ,162.18657,  7.55472,
 2016-Sep-04 00:00, , ,163.09063,  7.18686,
 2016-Sep-05 00:00, , ,163.99361,  6.81706,
 2016-Sep-06 00:00, , ,164.89561,  6.44542,
 2016-Sep-07 00:00, , ,165.79667,  6.07203,
 2016-Sep-08 00:00, , ,166.69687,  5.69698,
 2016-Sep-09 00:00, , ,167.59628,  5.32036,
 2016-Sep-10 00:00, , ,168.49498,  4.94226,
 2016-Sep-11 00:00, , ,169.39304,  4.56279,
 2016-Sep-12 00:00, , ,170.29055,  4.18202,
 2016-Sep-13 00:00, , ,171.18759,  3.80005,
 2016-Sep-14 00:00, , ,172.08424,  3.41697,
 2016-Sep-15 00:00, , ,172.98061,  3.03287,
 2016-Sep-16 00:00, , ,173.87679,  2.64783,
 2016-Sep-17 00:00, , ,174.77288,  2.26194,
 2016-Sep-18 00:00, , ,175.66898,  1.87530,
 2016-Sep-19 00:00, , ,176.56520,  1.48797,
 2016-Sep-20 00:00, , ,177.46164,  1.10006,
 2016-Sep-21 00:00, , ,178.35841,  0.71165,
 2016-Sep-22 00:00, , ,179.25560,  0.32283,
 2016-Sep-23 00:00, , ,180.15329, -0.06632,
 2016-Sep-24 00:00, , ,181.05159, -0.45569,
 2016-Sep-25 00:00, , ,181.95057, -0.84520,
 2016-Sep-26 00:00, , ,182.85031, -1.23474,
 2016-Sep-27 00:00, , ,183.75088, -1.62421,
 2016-Sep-28 00:00, , ,184.65237, -2.01353,
 2016-Sep-29 00:00, , ,185.55484, -2.40259,
 2016-Sep-30 00:00, , ,186.45837, -2.79128,
 2016-Oct-01 00:00, , ,187.36302, -3.17951,
 2016-Oct-02 00:00, , ,188.26888, -3.56717,
 2016-Oct-03 00:00, , ,189.17600, -3.95416,
 2016-Oct-04 00:00, , ,190.08446, -4.34037,
 2016-Oct-05 00:00, , ,190.99433, -4.72572,
 2016-Oct-06 00:00, , ,191.90569, -5.11008,
 2016-Oct-07 00:00, , ,192.81861, -5.49336,
 2016-Oct-08 00:00, , ,193.73316, -5.87545,
 2016-Oct-09 00:00, , ,194.64943, -6.25625,
 2016-Oct-10 00:00, , ,195.56748, -6.63565,
 2016-Oct-11 00:00, , ,196.48740, -7.01356,
 2016-Oct-12 00:00, , ,197.40926, -7.38987,
 2016-Oct-13 00:00, , ,198.33316, -7.76447,
 2016-Oct-14 00:00, , ,199.25917, -8.13726,
 2016-Oct-15 00:00, , ,200.18739, -8.50814,
 2016-Oct-16 00:00, , ,201.11790, -8.87702,
 2016-Oct-17 00:00, , ,202.05082, -9.24378,
 2016-Oct-18 00:00, , ,202.98622, -9.60834,
 2016-Oct-19 00:00, , ,203.92421, -9.97059,
 2016-Oct-20 00:00, , ,204.86487,-10.33043,
 2016-Oct-21 00:00, , ,205.80828,-10.68776,
 2016-Oct-22 00:00, , ,206.75451,-11.04246,
 2016-Oct-23 00:00, , ,207.70363,-11.39444,
 2016-Oct-24 00:00, , ,208.65570,-11.74359,
 2016-Oct-25 00:00, , ,209.61078,-12.08978,
 2016-Oct-26 00:00, , ,210.56891,-12.43292,
 2016-Oct-27 00:00, , ,211.53015,-12.77288,
 2016-Oct-28 00:00, , ,212.49453,-13.10956,
 2016-Oct-29 00:00, , ,213.46209,-13.44283,
 2016-Oct-30 00:00, , ,214.43288,-13.77259,
 2016-Oct-31 00:00, , ,215.40691,-14.09871,
 2016-Nov-01 00:00, , ,216.38423,-14.42108,
 2016-Nov-02 00:00, , ,217.36485,-14.73958,
 2016-Nov-03 00:00, , ,218.34880,-15.05411,
 2016-Nov-04 00:00, , ,219.33610,-15.36453,
 2016-Nov-05 00:00, , ,220.32678,-15.67074,
 2016-Nov-06 00:00, , ,221.32084,-15.97262,
 2016-Nov-07 00:00, , ,222.31831,-16.27005,
 2016-Nov-08 00:00, , ,223.31920,-16.56293,
 2016-Nov-09 00:00, , ,224.32351,-16.85113,
 2016-Nov-10 00:00, , ,225.33127,-17.13455,
 2016-Nov-11 00:00, , ,226.34248,-17.41307,
 2016-Nov-12 00:00, , ,227.35716,-17.68659,
 2016-Nov-13 00:00, , ,228.37532,-17.95499,
 2016-Nov-14 00:00, , ,229.39697,-18.21817,
 2016-Nov-15 00:00, , ,230.42215,-18.47603,
 2016-Nov-16 00:00, , ,231.45085,-18.72846,
 2016-Nov-17 00:00, , ,232.48308,-18.97537,
 2016-Nov-18 00:00, , ,233.51884,-19.21665,
 2016-Nov-19 00:00, , ,234.55813,-19.45220,
 2016-Nov-20 00:00, , ,235.60092,-19.68192,
 2016-Nov-21 00:00, , ,236.64718,-19.90571,
 2016-Nov-22 00:00, , ,237.69687,-20.12347,
 2016-Nov-23 00:00, , ,238.74995,-20.33510,
 2016-Nov-24 00:00, , ,239.80636,-20.54050,
 2016-Nov-25 00:00, , ,240.86603,-20.73957,
 2016-Nov-26 00:00, , ,241.92891,-20.93222,
 2016-Nov-27 00:00, , ,242.99492,-21.11835,
 2016-Nov-28 00:00, , ,244.06398,-21.29788,
